"","ID","Timepoint","saccade_bin","n()","avg_peak","sd_peak","avg_meanvel","sd_meanvel"
"72","JO","1_1","30-40",16,592.87325,116.173651748579,335.4458125,32.0977937335652
"73","JO","1_2","5-15",37,367.585405405405,123.772534303065,228.322378378378,44.1156292645635
"74","JO","1_2","20-30",35,537.142685714286,137.723007907981,319.648685714286,42.7663309610365
"75","JO","1_2","30-40",13,628.195769230769,192.308044724757,328.602769230769,44.9539013307964
"76","JO","2_1","5-15",39,322.827461538462,88.6838773280649,206.434435897436,57.947704334346
"77","JO","2_1","20-30",36,597.970388888889,170.691880657229,355.115777777778,47.3547126435079
"78","JO","2_1","30-40",24,645.188666666667,101.020014282864,363.142916666667,43.0799719207012
"79","JO","2_2","5-15",45,335.827733333333,113.578299895311,203.581444444444,65.0362872121667
"80","JO","2_2","20-30",44,536.705977272727,84.3590915723163,336.642022727273,45.1217265031756
"81","JO","2_2","30-40",23,646.576043478261,128.273353894747,371.672956521739,47.6429024786372
"82","JT","1_1","5-15",57,254.319614035088,76.3309524378064,148.496964912281,43.4596422319296
"83","JT","1_1","20-30",29,326.080965517241,55.9729598304158,187.493275862069,36.6979871975256
"84","JT","1_1","30-40",9,414.152444444444,77.9572360995294,205.589,29.997858523568
"85","JT","1_2","5-15",47,262.39029787234,70.7576585189423,154.954382978723,39.8965143380772
"86","JT","1_2","20-30",32,380.25225,77.8034544311456,228.95959375,36.2080946794154
"87","JT","1_2","30-40",17,426.689764705882,64.1802724543623,242.484117647059,38.7455100396845
"88","JT","2_1","5-15",69,231.809420289855,73.3409399495835,138.409536231884,43.1672886350913
"89","JT","2_1","20-30",24,331.857166666667,47.7010753052315,175.892958333333,32.476071504871
"90","JT","2_1","30-40",16,405.8751875,59.6393381845895,213.1989375,33.4749840835785
"91","JT","2_2","5-15",38,254.123368421053,71.9074646786357,157.921289473684,56.3469348291783
"92","JT","2_2","20-30",45,370.181222222222,86.3490586222542,217.683133333333,55.7452960794166
"93","JT","2_2","30-40",29,432.068068965517,78.4845351285985,258.464724137931,47.3733357679014
"94","LJ","1_1","5-15",44,296.778454545455,70.181184215772,172.364931818182,42.8643515395045
"95","LJ","1_1","20-30",28,496.217571428571,171.585919820002,264.899178571429,38.5577942690302
"96","LJ","1_1","30-40",18,509.639722222222,89.6168500423137,314.284777777778,66.7631358800345
"97","LJ","1_2","5-15",42,286.734095238095,78.7344317730487,176.905214285714,46.055326899092
"98","LJ","1_2","20-30",43,419.009860465116,79.2534952393062,266.738186046512,34.4148612550255
"99","LJ","1_2","30-40",28,464.074535714286,50.050494772026,288.935928571429,28.4559982818549
"100","LJ","2_1","5-15",43,299.32376744186,80.2339614380336,178.225418604651,45.3779218338991
"101","LJ","2_1","20-30",35,416.1114,85.6242760224266,259.982342857143,36.0092838796615
"102","LJ","2_1","30-40",16,471.2854375,93.0782433382215,275.8504375,21.2882690919005
"103","LJ","2_2","5-15",41,289.792463414634,106.989555548216,167.744780487805,46.1317843381937
"104","LJ","2_2","20-30",48,466.417104166667,114.257515475004,257.154479166667,34.7549943179698
"105","LJ","2_2","30-40",16,565.3409375,207.009482391337,303.7821875,41.818288002928
"106","MaR","1_1","5-15",41,339.730341463415,97.111940509808,191.982048780488,54.7171505759169
"107","MaR","1_1","20-30",47,461.870170212766,106.425714903446,267.09070212766,67.162323208942
"108","MaR","1_1","30-40",15,524.938933333333,96.9358400530008,305.705666666667,55.4537924848462
"109","MaR","1_2","5-15",36,365.740583333333,113.862484819785,212.812777777778,57.7397607482356
"110","MaR","1_2","20-30",39,464.451051282051,87.7874834843989,289.348794871795,44.7659500561588
"111","MaR","1_2","30-40",17,609.564764705882,154.917230967269,326.725529411765,31.0347596819229
"112","MaR","2_1","5-15",30,436.540733333333,114.971608669851,246.534533333333,47.7532056889149
"113","MaR","2_1","20-30",35,551.068142857143,65.2676505854897,344.135114285714,35.2963306856238
"114","MaR","2_1","30-40",13,575.174,93.2230373664865,352.741461538462,23.8297298334643
"115","MR","1_2","5-15",33,463.762090909091,134.96145081892,284.945393939394,79.4203312603027
"116","MR","1_2","20-30",17,662.502117647059,137.918151437221,393.350352941176,62.0626571205878
"117","MR","1_2","30-40",27,724.797444444444,85.6798245376055,434.652888888889,57.3462273437765
"118","MR","2_1","5-15",37,378.504378378378,94.9453995100902,238.984864864865,52.7332880763408
"119","MR","2_1","20-30",35,600.527571428571,110.513766880577,344.177971428571,31.7939875378661
"120","MR","2_1","30-40",32,610.81096875,100.678281921556,385.30834375,34.4471094284382
"121","MR","2_2","5-15",37,377.265162162162,92.2508029457719,218.107756756757,45.4028675491889
"122","MR","2_2","20-30",32,517.27134375,62.306106776561,328.91728125,30.3004450422276
"123","MR","2_2","30-40",19,578.167684210526,73.3923014294889,352.191210526316,22.9657753493685
"124","RM","1_1","5-15",35,470.561828571429,126.510176958797,284.399485714286,68.0794193010986
"125","RM","1_1","20-30",42,593.668714285714,132.272971722889,330.964071428571,41.5550883652478
"126","RM","1_1","30-40",29,627.100689655172,113.391648534469,327.159517241379,30.4056570307715
"127","RM","1_2","5-15",29,417.471862068966,82.490044927825,259.336724137931,62.950587810087
"128","RM","1_2","20-30",45,588.940933333333,105.248029050516,326.727022222222,34.5841859863783
"129","RM","1_2","30-40",9,671.614111111111,108.859407438499,337.368,43.5243372091982
"130","RM","2_1","5-15",28,481.513,152.411340683083,270.30675,57.2784761705186
"131","RM","2_1","20-30",40,614.687625,143.237573180003,329.368175,47.181774514127
"132","RM","2_1","30-40",28,644.384821428571,137.894188082358,322.577428571429,32.4774634493801
"133","TF","1_1","5-15",44,329.728136363636,109.404551967838,203.25175,58.1245670496004
"134","TF","1_1","20-30",31,519.480806451613,94.4546518711208,322.994580645161,34.6128959057884
"135","TF","1_1","30-40",23,557.899043478261,69.7508603514734,356.096086956522,26.4328262650011
"136","TF","1_2","5-15",35,353.409171428571,85.4927179656035,222.324657142857,54.5446179395649
"137","TF","1_2","20-30",36,559.754861111111,98.7853780163709,353.704222222222,42.904534796027
"138","TF","1_2","30-40",32,632.4480625,140.183168180855,386.8459375,38.3814252563091
"139","TF","2_1","5-15",35,383.169942857143,97.0719657425061,242.642657142857,54.6888451621819
"140","TF","2_1","20-30",40,598.6251,148.195643849401,357.06445,36.729627658692
"141","TF","2_1","30-40",33,667.078878787879,104.422635753628,382.716212121212,39.8103356026717
"142","TF","2_2","5-15",38,368.388368421053,92.6638878395261,225.476868421053,63.6496720677614
"143","TF","2_2","20-30",31,570.817129032258,117.467831281516,360.752387096774,32.0801452248141
"144","TF","2_2","30-40",36,596.141916666667,88.5806924533058,408.562055555556,36.8919226141476
